Year ending December,Police Region,Local Government Area,Incidents Recorded,"Rate per 100,000 population",Rate,LGA_Code
2018,2 EASTERN,BOROONDARA,5604,3088.7059458329245,3.0887059458329245,21110
2018,2 EASTERN,BENALLA,877,6274.515043831506,6.274515043831506,21010
2018,2 EASTERN,BAW BAW,3179,6140.413343876602,6.140413343876602,20830
2018,2 EASTERN,BASS COAST,1664,4750.933993570893,4.750933993570893,20740
2018,2 EASTERN,ALPINE,394,3119.8120252270046,3.1198120252270045,20110
2017,2 EASTERN,YARRA RANGES,5719,3643.0928386694018,3.6430928386694017,27450
2017,2 EASTERN,WODONGA,2425,5978.207277388818,5.978207277388818,27170
2017,2 EASTERN,WHITEHORSE,6515,3754.740251507083,3.754740251507083,26980
2017,2 EASTERN,WELLINGTON,2723,6224.4268178389375,6.224426817838937,26810
2017,2 EASTERN,WANGARATTA,1780,6175.409381071329,6.175409381071329,26700
2017,2 EASTERN,TOWONG,174,2912.6213592233007,2.9126213592233006,26670
2017,2 EASTERN,STRATHBOGIE,438,4189.383070301291,4.189383070301291,26430
2017,2 EASTERN,SOUTH GIPPSLAND,1005,3450.762257931603,3.450762257931603,26170
2017,2 EASTERN,MURRINDINDI,546,3854.0269640714337,3.8540269640714335,25620
2017,2 EASTERN,MONASH,8177,4155.211927495948,4.155211927495948,24970
2017,2 EASTERN,MOIRA,1451,4924.486679110809,4.924486679110808,24900
2017,2 EASTERN,MITCHELL,3060,7150.3680336487905,7.150368033648791,24850
2017,2 EASTERN,MAROONDAH,6306,5413.386671702908,5.4133866717029075,24410
2017,2 EASTERN,MANSFIELD,494,5661.891117478511,5.661891117478511,24250
2017,2 EASTERN,MANNINGHAM,3699,2970.6787025064846,2.9706787025064845,24210
2017,2 EASTERN,LATROBE,9285,12444.37892028092,12.44437892028092,23810
2017,2 EASTERN,KNOX,8432,5201.213945569839,5.2012139455698385,23670
2017,2 EASTERN,INDIGO,377,2324.290998766954,2.324290998766954,23350
2017,2 EASTERN,GREATER SHEPPARTON,5941,9057.368926562285,9.057368926562285,22830
2017,2 EASTERN,EAST GIPPSLAND,2974,6470.844212358573,6.470844212358573,22110
2017,2 EASTERN,BOROONDARA,5742,3199.8484223666173,3.1998484223666175,21110
2017,2 EASTERN,BENALLA,975,6984.240687679083,6.984240687679083,21010
2017,2 EASTERN,BAW BAW,2765,5490.032562941784,5.490032562941784,20830
2017,2 EASTERN,BASS COAST,1935,5654.092277123572,5.6540922771235715,20740
2017,2 EASTERN,ALPINE,310,2477.0275669196963,2.477027566919696,20110
2016,2 EASTERN,YARRA RANGES,6453,4154.862470382198,4.154862470382198,27450
2016,2 EASTERN,WODONGA,2497,6266.941070173677,6.266941070173677,27170
2016,2 EASTERN,WHITEHORSE,6358,3737.9551186703743,3.7379551186703743,26980
2016,2 EASTERN,WELLINGTON,3318,7633.728287127574,7.633728287127574,26810
2016,2 EASTERN,WANGARATTA,1809,6334.255401099478,6.334255401099478,26700
2016,2 EASTERN,TOWONG,176,2946.5930018416207,2.9465930018416207,26670
2016,2 EASTERN,STRATHBOGIE,479,4637.428599089941,4.637428599089941,26430
2016,2 EASTERN,SOUTH GIPPSLAND,1140,3939.7290572297484,3.9397290572297483,26170
2016,2 EASTERN,MURRINDINDI,547,3909.09740584578,3.90909740584578,25620
2016,2 EASTERN,MONASH,8961,4646.616541353384,4.646616541353383,24970
2016,2 EASTERN,MOIRA,1369,4671.398348461066,4.671398348461066,24900
2016,2 EASTERN,MITCHELL,3229,7756.053036126056,7.7560530361260565,24850
2016,2 EASTERN,MAROONDAH,6764,5882.813383313474,5.882813383313474,24410
2016,2 EASTERN,MANSFIELD,481,5589.7733875653685,5.589773387565368,24250
2016,2 EASTERN,MANNINGHAM,3961,3222.89303672845,3.22289303672845,24210
2016,2 EASTERN,LATROBE,10453,14063.151663549894,14.063151663549894,23810
2016,2 EASTERN,KNOX,9173,5709.395325677652,5.709395325677653,23670
2016,2 EASTERN,INDIGO,322,2008.1072653570316,2.0081072653570318,23350
2016,2 EASTERN,GREATER SHEPPARTON,6330,9727.088327494006,9.727088327494005,22830
2016,2 EASTERN,EAST GIPPSLAND,3096,6815.4801215163125,6.8154801215163126,22110
2016,2 EASTERN,BOROONDARA,7057,3978.890511442764,3.978890511442764,21110
2016,2 EASTERN,BENALLA,1019,7298.38132072769,7.29838132072769,21010
2016,2 EASTERN,BAW BAW,2922,5962.291870714985,5.962291870714985,20830
2016,2 EASTERN,BASS COAST,2069,6210.042921031305,6.210042921031305,20740
2016,2 EASTERN,ALPINE,267,2144.578313253012,2.144578313253012,20110
2015,2 EASTERN,YARRA RANGES,5440,3541.4130498466907,3.5414130498466907,27450
2015,2 EASTERN,WODONGA,2619,6705.584146247792,6.705584146247792,27170
2015,2 EASTERN,WHITEHORSE,5785,3459.8247660058014,3.4598247660058012,26980
2015,2 EASTERN,WELLINGTON,2962,6862.358964854157,6.862358964854158,26810
2015,2 EASTERN,WANGARATTA,1627,5780.983513359863,5.780983513359863,26700
2015,2 EASTERN,TOWONG,167,2805.308247942214,2.805308247942214,26670
2015,2 EASTERN,STRATHBOGIE,359,3532.4215290760603,3.53242152907606,26430
2015,2 EASTERN,SOUTH GIPPSLAND,906,3161.0899829035975,3.1610899829035977,26170
2015,2 EASTERN,MURRINDINDI,509,3684.6677283914864,3.6846677283914864,25620
2015,2 EASTERN,MONASH,7520,3967.4793316485616,3.9674793316485615,24970
2015,2 EASTERN,MOIRA,1103,3780.7636936998697,3.78076369369987,24900
2015,2 EASTERN,MITCHELL,2659,6619.2029075701375,6.619202907570138,24850
2015,2 EASTERN,MAROONDAH,5795,5115.732975511573,5.115732975511573,24410
2015,2 EASTERN,MANSFIELD,339,3996.227749616881,3.9962277496168808,24250
2015,2 EASTERN,MANNINGHAM,3354,2768.1032632916827,2.7681032632916827,24210
2015,2 EASTERN,LATROBE,9024,12177.808966019811,12.17780896601981,23810
2015,2 EASTERN,KNOX,7356,4623.390989541432,4.623390989541432,23670
2015,2 EASTERN,INDIGO,382,2412.5299987368953,2.412529998736895,23350
2015,2 EASTERN,GREATER SHEPPARTON,5499,8518.31771357757,8.51831771357757,22830
2015,2 EASTERN,EAST GIPPSLAND,3148,7031.3372495588665,7.031337249558867,22110
2015,2 EASTERN,BOROONDARA,5896,3369.2583745728425,3.3692583745728424,21110
2015,2 EASTERN,BENALLA,810,5818.9655172413795,5.81896551724138,21010
2015,2 EASTERN,BAW BAW,2491,5227.263188819406,5.227263188819406,20830
2015,2 EASTERN,BASS COAST,1930,5940.289319790704,5.940289319790704,20740
2015,2 EASTERN,ALPINE,356,2885.160872031769,2.885160872031769,20110
2014,2 EASTERN,YARRA RANGES,5351,3517.802671715578,3.517802671715578,27450
2014,2 EASTERN,WODONGA,2431,6357.550081071186,6.357550081071185,27170
2014,2 EASTERN,WHITEHORSE,5703,3462.8696338575505,3.4628696338575504,26980
2014,2 EASTERN,WELLINGTON,2900,6754.238867151108,6.754238867151108,26810
2014,2 EASTERN,WANGARATTA,1690,6066.044508255563,6.066044508255564,26700
2014,2 EASTERN,TOWONG,148,2490.7438572871088,2.4907438572871086,26670
2014,2 EASTERN,STRATHBOGIE,341,3407.614669731188,3.407614669731188,26430
2014,2 EASTERN,SOUTH GIPPSLAND,901,3169.633434179976,3.169633434179976,26170
2014,2 EASTERN,MURRINDINDI,516,3777.4524158125914,3.7774524158125913,25620
2014,2 EASTERN,MONASH,6886,3694.3051047506638,3.6943051047506636,24970
2014,2 EASTERN,MOIRA,1083,3732.9380945815524,3.7329380945815522,24900
2014,2 EASTERN,MITCHELL,2145,5498.449155366435,5.498449155366435,24850
2014,2 EASTERN,MAROONDAH,5875,5264.525610236926,5.264525610236926,24410
